,Team,Year,Round,Goals / 90,Opponent Goals / 90,Goals / 90 Difference,Assists / 90,Opponent Assists / 90,Assists / 90 Difference,Goals Minus Penalty Kicks / 90,Opponent Goals Minus Penalty Kicks / 90,Goals Minus Penalty Kicks / 90 Difference,GDP Per Capita,GDP Growth Rate (%),Population Density,Population Density Growth Rate (%),Life Expectancy,Life Expectancy Growth Rate (%),Birth Rate,Birth Rate Growth Rate (%),Death Rate,Death Rate Growth Rate (%),Unemployment Rate,Opponent GDP Per Capita,GDP Per Capita Difference,Opponent GDP Growth Rate (%),GDP Growth Rate (%) Difference,Opponent Population Density,Population Density Difference,Opponent Population Density Growth Rate (%),Population Density Growth Rate (%) Difference,Opponent Life Expectancy,Life Expectancy Difference,Opponent Life Expectancy Growth Rate (%),Life Expectancy Growth Rate (%) Difference,Opponent Birth Rate,Birth Rate Difference,Opponent Birth Rate Growth Rate (%),Birth Rate Growth Rate (%) Difference,Opponent Death Rate,Death Rate Difference,Opponent Death Rate Growth Rate (%),Death Rate Growth Rate (%) Difference,Opponent Unemployment Rate,Unemployment Rate Difference,Result
62,Argentina,1978.0,Second round,2.05,1.43,0.6199999999999999,,,,1.91,1.29,0.6199999999999999,2521.0,10.22,9.92,1.61,69.01,0.43,25.183,-1.74,8.726,-0.95,,1740.0,781.0,4.97,5.250000000000001,14.03,-4.109999999999999,2.39,-0.78,62.12,6.890000000000008,0.56,-0.13,32.113,-6.93,-0.97,-0.77,8.632,0.0940000000000012,-1.61,0.6600000000000001,,,DRAW
63,Brazil,1978.0,Second round,1.43,2.05,-0.6199999999999999,,,,1.29,1.91,-0.6199999999999999,1740.0,4.97,14.03,2.39,62.12,0.56,32.113,-0.97,8.632,-1.61,,2521.0,-781.0,10.22,-5.250000000000001,9.92,4.109999999999999,1.61,0.78,69.01,-6.890000000000008,0.43,0.13,25.183,6.93,-1.74,0.77,8.726,-0.0940000000000012,-0.95,-0.6600000000000001,,,DRAW
64,Netherlands,1978.0,Second round,2.05,1.14,0.91,,,,1.5,1.14,0.3600000000000001,11179.0,2.7,337.99,0.65,75.36,0.26,12.614,-0.66,8.122,0.16,,5610.0,5569.0,3.24,-0.54,186.07,151.92000000000002,0.35,0.3,73.82,1.5400000000000065,0.36,-0.0999999999999999,12.718,-0.1039999999999992,-3.4,2.74,9.855,-1.7330000000000003,-0.17,0.33,,,WIN
65,Italy,1978.0,Second round,1.14,2.05,-0.91,,,,1.14,1.5,-0.3600000000000001,5610.0,3.24,186.07,0.35,73.82,0.36,12.718,-3.4,9.855,-0.17,,11179.0,-5569.0,2.7,0.54,337.99,-151.92000000000002,0.65,-0.3,75.36,-1.5400000000000065,0.26,0.0999999999999999,12.614,0.1039999999999992,-0.66,-2.74,8.122,1.7330000000000003,0.16,-0.33,,,LOSS
66,Austria,1978.0,Second round,1.0,1.67,-0.6699999999999999,,,,0.83,1.67,-0.84,8205.0,-0.21,89.98,-0.17,72.37,0.32,11.539,0.46,12.309,-0.44,,,,,,,,,,,,,,,,,,,,,,,,WIN
67,West Germany,1978.0,Second round,1.67,1.0,0.6699999999999999,,,,1.67,0.83,0.84,,,,,,,,,,,,8205.0,,-0.21,,89.98,,-0.17,,72.37,,0.32,,11.539,,0.46,,12.309,,-0.44,,,,LOSS
68,Brazil,1978.0,Second round,1.43,1.0,0.4299999999999999,,,,1.29,1.0,0.29,1740.0,4.97,14.03,2.39,62.12,0.56,32.113,-0.97,8.632,-1.61,,,,,,112.54,-98.51,0.91,1.48,70.43,-8.31000000000001,0.09,0.4700000000000001,18.94,13.172999999999998,0.17,-1.14,9.34,-0.7080000000000002,0.8,-2.41,,,WIN
69,Poland,1978.0,Second round,1.0,1.43,-0.4299999999999999,,,,1.0,1.29,-0.29,,,112.54,0.91,70.43,0.09,18.94,0.17,9.34,0.8,,1740.0,,4.97,,14.03,98.51,2.39,-1.48,62.12,8.31000000000001,0.56,-0.4700000000000001,32.113,-13.172999999999998,-0.97,1.14,8.632,0.7080000000000002,-1.61,2.41,,,LOSS
70,Argentina,1978.0,Second round,2.05,1.17,0.8799999999999999,,,,1.91,0.83,1.08,2521.0,10.22,9.92,1.61,69.01,0.43,25.183,-1.74,8.726,-0.95,,750.0,1771.0,-2.64,12.86,13.27,-3.35,2.53,-0.9199999999999996,59.41,9.600000000000009,0.96,-0.53,36.98,-11.796999999999995,-1.47,-0.27,10.317,-1.5909999999999993,-3.0,2.05,,,WIN
71,Peru,1978.0,Second round,1.17,2.05,-0.8799999999999999,,,,0.83,1.91,-1.08,750.0,-2.64,13.27,2.53,59.41,0.96,36.98,-1.47,10.317,-3.0,,2521.0,-1771.0,10.22,-12.86,9.92,3.35,1.61,0.9199999999999996,69.01,-9.600000000000009,0.43,0.53,25.183,11.796999999999995,-1.74,0.27,8.726,1.5909999999999993,-0.95,-2.05,,,LOSS
72,Brazil,1978.0,Third-place match,1.43,1.14,0.29,,,,1.29,1.14,0.1500000000000001,1740.0,4.97,14.03,2.39,62.12,0.56,32.113,-0.97,8.632,-1.61,,5610.0,-3870.0,3.24,1.7299999999999995,186.07,-172.04,0.35,2.04,73.82,-11.699999999999996,0.36,0.2,12.718,19.395,-3.4,2.43,9.855,-1.2230000000000008,-0.17,-1.4400000000000002,,,WIN
73,Italy,1978.0,Third-place match,1.14,1.43,-0.29,,,,1.14,1.29,-0.1500000000000001,5610.0,3.24,186.07,0.35,73.82,0.36,12.718,-3.4,9.855,-0.17,,1740.0,3870.0,4.97,-1.7299999999999995,14.03,172.04,2.39,-2.04,62.12,11.699999999999996,0.56,-0.2,32.113,-19.395,-0.97,-2.43,8.632,1.2230000000000008,-1.61,1.4400000000000002,,,LOSS
74,Argentina,1978.0,Final,2.05,2.05,0.0,,,,1.91,1.5,0.4099999999999999,2521.0,10.22,9.92,1.61,69.01,0.43,25.183,-1.74,8.726,-0.95,,11179.0,-8658.0,2.7,7.52,337.99,-328.07,0.65,0.96,75.36,-6.349999999999994,0.26,0.1699999999999999,12.614,12.569,-0.66,-1.08,8.122,0.604000000000001,0.16,-1.11,,,WIN
75,Netherlands,1978.0,Final,2.05,2.05,0.0,,,,1.5,1.91,-0.4099999999999999,11179.0,2.7,337.99,0.65,75.36,0.26,12.614,-0.66,8.122,0.16,,2521.0,8658.0,10.22,-7.52,9.92,328.07,1.61,-0.96,69.01,6.349999999999994,0.43,-0.1699999999999999,25.183,-12.569,-1.74,1.08,8.726,-0.604000000000001,-0.95,1.11,,,LOSS
0,Argentina,1982.0,First group stage,1.6,0.6,1.0,,,,1.4,0.6,0.7999999999999999,3553.0,4.35,10.57,1.57,70.2,0.43,23.394,-1.87,8.391,-0.99,,9344.0,-5791.0,0.6,3.75,323.17,-312.6,0.09,1.48,73.91,-3.7099999999999937,0.34,0.0899999999999999,12.051,11.342999999999998,-0.46,-1.41,11.463,-3.071999999999999,-0.67,-0.3199999999999999,,,LOSS
1,Belgium,1982.0,First group stage,0.6,1.6,-1.0,,,,0.6,1.4,-0.7999999999999999,9344.0,0.6,323.17,0.09,73.91,0.34,12.051,-0.46,11.463,-0.67,,3553.0,5791.0,4.35,-3.75,10.57,312.6,1.57,-1.48,70.2,3.7099999999999937,0.43,-0.0899999999999999,23.394,-11.342999999999998,-1.87,1.41,8.391,3.071999999999999,-0.99,0.3199999999999999,,,WIN
2,Italy,1982.0,First group stage,1.71,1.57,0.1399999999999999,,,,1.71,1.57,0.1399999999999999,7557.0,0.41,187.85,0.04,74.88,0.36,10.924,-3.94,9.785,-0.17,,,,,,116.85,71.0,0.96,-0.92,70.69,4.189999999999998,0.09,0.27,19.066,-8.142,0.17,-4.11,9.636,0.1490000000000009,0.77,-0.94,,,DRAW
3,Poland,1982.0,First group stage,1.57,1.71,-0.1399999999999999,,,,1.57,1.71,-0.1399999999999999,,,116.85,0.96,70.69,0.09,19.066,0.17,9.636,0.77,,7557.0,,0.41,,187.85,-71.0,0.04,0.92,74.88,-4.189999999999998,0.36,-0.27,10.924,8.142,-3.94,4.11,9.785,-0.1490000000000009,-0.17,0.94,,,DRAW
4,Brazil,1982.0,First group stage,3.0,1.4,1.6,,,,3.0,1.4,1.6,2145.0,0.83,15.38,2.27,63.5,0.55,30.855,-1.01,8.07,-1.72,,,,,,8.24,7.140000000000001,0.72,1.55,67.47,-3.969999999999999,-0.03,0.5800000000000001,16.737,14.118000000000002,1.17,-2.18,11.323,-3.253,1.62,-3.34,,,WIN
5,Soviet Union,1982.0,First group stage,1.4,3.0,-1.6,,,,1.4,3.0,-1.6,,,8.24,0.72,67.47,-0.03,16.737,1.17,11.323,1.62,,2145.0,,0.83,,15.38,-7.140000000000001,2.27,-1.55,63.5,3.969999999999999,0.55,-0.5800000000000001,30.855,-14.118000000000002,-1.01,2.18,8.07,3.253,-1.72,3.34,,,LOSS
6,Peru,1982.0,First group stage,0.67,0.33,0.34,,,,0.67,0.33,0.34,1182.0,-0.22,14.65,2.46,61.67,0.93,34.775,-1.56,9.043,-3.41,,721.0,461.0,7.52,-7.739999999999999,19.44,-4.790000000000001,2.14,0.3199999999999998,52.4,9.270000000000003,0.75,0.18,46.458,-11.683,0.4,-1.96,15.089,-6.046000000000001,-1.73,-1.6800000000000002,,,DRAW
7,Cameroon,1982.0,First group stage,0.33,0.67,-0.34,,,,0.33,0.67,-0.34,721.0,7.52,19.44,2.14,52.4,0.75,46.458,0.4,15.089,-1.73,,1182.0,-461.0,-0.22,7.739999999999999,14.65,4.790000000000001,2.46,-0.3199999999999998,61.67,-9.270000000000003,0.93,-0.18,34.775,11.683,-1.56,1.96,9.043,6.046000000000001,-3.41,1.6800000000000002,,,DRAW
8,Hungary,1982.0,First group stage,4.0,0.33,3.67,,,,4.0,0.33,3.67,,,114.17,-0.33,69.08,-0.15,12.546,-6.42,13.9,1.58,,718.0,,-6.31,,222.89,-108.71999999999998,1.95,-2.28,57.16,11.920000000000002,0.33,-0.48,35.411,-22.865,-2.22,-4.199999999999999,11.17,2.7300000000000004,-1.39,2.97,,,LOSS
9,El Salvador,1982.0,First group stage,0.33,4.0,-3.67,,,,0.33,4.0,-3.67,718.0,-6.31,222.89,1.95,57.16,0.33,35.411,-2.22,11.17,-1.39,,,,,,114.17,108.71999999999998,-0.33,2.28,69.08,-11.920000000000002,-0.15,0.48,12.546,22.865,-6.42,4.199999999999999,13.9,-2.7300000000000004,1.58,-2.97,,,WIN
10,Scotland,1982.0,First group stage,2.67,0.67,2.0,,,,2.67,0.67,2.0,9146.0,1.99,231.93,0.09,74.19,0.32,12.802,1.3,11.73,-0.32,,7656.0,1490.0,0.93,1.06,12.03,219.9,1.07,-0.98,73.77,0.4200000000000017,0.31,0.01,15.843,-3.0410000000000004,-1.43,2.73,8.079,3.651,0.0,-0.32,,,WIN
11,New Zealand,1982.0,First group stage,0.67,2.67,-2.0,,,,0.67,2.67,-2.0,7656.0,0.93,12.03,1.07,73.77,0.31,15.843,-1.43,8.079,0.0,,9146.0,-1490.0,1.99,-1.06,231.93,-219.9,0.09,0.98,74.19,-0.4200000000000017,0.32,-0.01,12.802,3.0410000000000004,1.3,-2.73,11.73,-3.651,-0.32,0.32,,,LOSS
12,England,1982.0,First group stage,1.0,2.18,-1.1800000000000002,,,,1.0,2.05,-1.0499999999999998,9146.0,1.99,231.93,0.09,74.19,0.32,12.802,1.3,11.73,-0.32,,10497.0,-1351.0,2.51,-0.5199999999999998,99.42,132.51,0.5,-0.41,74.77,-0.5799999999999983,0.3,0.02,14.152,-1.3499999999999996,0.5,0.8,10.138,1.5920000000000003,-0.4,0.08,,,WIN
13,France,1982.0,First group stage,2.18,1.0,1.1800000000000002,,,,2.05,1.0,1.0499999999999998,10497.0,2.51,99.42,0.5,74.77,0.3,14.152,0.5,10.138,-0.4,,9146.0,1351.0,1.99,0.5199999999999998,231.93,-132.51,0.09,0.41,74.19,0.5799999999999983,0.32,-0.02,12.802,1.3499999999999996,1.3,-0.8,11.73,-1.5920000000000003,-0.32,-0.08,,,LOSS
14,West Germany,1982.0,First group stage,1.64,1.67,-0.03,,,,1.64,1.67,-0.03,,,,,,,,,,,,2210.0,,6.4,,8.68,,3.41,,61.58,,2.2,,40.793,,-2.04,,9.191,,-8.29,,,,LOSS
15,Algeria,1982.0,First group stage,1.67,1.64,0.03,,,,1.67,1.64,0.03,2210.0,6.4,8.68,3.41,61.58,2.2,40.793,-2.04,9.191,-8.29,,,,,,,,,,,,,,,,,,,,,,,,WIN
16,Spain,1982.0,First group stage,0.8,0.67,0.13,,,,0.4,0.67,-0.27,5160.0,1.25,75.44,0.49,76.11,0.45,13.427,-5.77,7.78,-0.73,,1091.0,4069.0,-2.07,3.32,36.78,38.66,3.04,-2.55,61.59,14.519999999999996,1.28,-0.8300000000000001,42.625,-29.198,-1.19,-4.58,9.211,-1.431,-4.66,3.93,,,DRAW
17,Honduras,1982.0,First group stage,0.67,0.8,-0.13,,,,0.67,0.4,0.27,1091.0,-2.07,36.78,3.04,61.59,1.28,42.625,-1.19,9.211,-4.66,,5160.0,-4069.0,1.25,-3.32,75.44,-38.66,0.49,2.55,76.11,-14.519999999999996,0.45,0.8300000000000001,13.427,29.198,-5.77,4.58,7.78,1.431,-0.73,-3.93,,,DRAW
18,Chile,1982.0,First group stage,1.0,1.0,0.0,,,,0.67,1.0,-0.3299999999999999,2157.0,-11.01,15.83,1.43,70.53,0.92,22.829,-1.57,6.063,-2.74,,9410.0,-7253.0,2.01,-13.02,90.12,-74.29,-0.16,1.59,73.28,-2.75,0.31,0.6100000000000001,11.751,11.078,0.45,-2.02,12.09,-6.027,-0.45,-2.29,,,LOSS
19,Austria,1982.0,First group stage,1.0,1.0,0.0,,,,1.0,0.67,0.3299999999999999,9410.0,2.01,90.12,-0.16,73.28,0.31,11.751,0.45,12.09,-0.45,,2157.0,7253.0,-11.01,13.02,15.83,74.29,1.43,-1.59,70.53,2.75,0.92,-0.6100000000000001,22.829,-11.078,-1.57,2.02,6.063,6.027,-2.74,2.29,,,WIN
20,Czechoslovakia,1982.0,First group stage,0.67,0.67,0.0,,,,0.0,0.67,-0.67,,,,,,,,,,,,17409.0,,,,97.42,,5.03,,70.49,,0.49,,35.877,,-1.66,,3.498,,-5.15,,,,DRAW
21,Kuwait,1982.0,First group stage,0.67,0.67,0.0,,,,0.67,0.0,0.67,17409.0,,97.42,5.03,70.49,0.49,35.877,-1.66,3.498,-5.15,,,,,,,,,,,,,,,,,,,,,,,,DRAW
22,Yugoslavia,1982.0,First group stage,0.67,1.0,-0.3299999999999999,,,,0.33,1.0,-0.6699999999999999,,,,,,,,,,,,9146.0,,1.99,,231.93,,0.09,,74.19,,0.32,,12.802,,1.3,,11.73,,-0.32,,,,DRAW
23,Northern Ireland,1982.0,First group stage,1.0,0.67,0.3299999999999999,,,,1.0,0.33,0.6699999999999999,9146.0,1.99,231.93,0.09,74.19,0.32,12.802,1.3,11.73,-0.32,,,,,,,,,,,,,,,,,,,,,,,,DRAW
24,Italy,1982.0,First group stage,1.71,0.67,1.04,,,,1.71,0.67,1.04,7557.0,0.41,187.85,0.04,74.88,0.36,10.924,-3.94,9.785,-0.17,,1182.0,6375.0,-0.22,0.63,14.65,173.2,2.46,-2.42,61.67,13.209999999999994,0.93,-0.5700000000000001,34.775,-23.851,-1.56,-2.38,9.043,0.7420000000000009,-3.41,3.24,,,DRAW
25,Peru,1982.0,First group stage,0.67,1.71,-1.04,,,,0.67,1.71,-1.04,1182.0,-0.22,14.65,2.46,61.67,0.93,34.775,-1.56,9.043,-3.41,,7557.0,-6375.0,0.41,-0.63,187.85,-173.2,0.04,2.42,74.88,-13.209999999999994,0.36,0.5700000000000001,10.924,23.851,-3.94,2.38,9.785,-0.7420000000000009,-0.17,-3.24,,,DRAW
26,Brazil,1982.0,First group stage,3.0,2.67,0.33,,,,3.0,2.67,0.33,2145.0,0.83,15.38,2.27,63.5,0.55,30.855,-1.01,8.07,-1.72,,9146.0,-7001.0,1.99,-1.16,231.93,-216.55,0.09,2.18,74.19,-10.689999999999998,0.32,0.23,12.802,18.053,1.3,-2.31,11.73,-3.66,-0.32,-1.4,,,WIN
27,Scotland,1982.0,First group stage,2.67,3.0,-0.33,,,,2.67,3.0,-0.33,9146.0,1.99,231.93,0.09,74.19,0.32,12.802,1.3,11.73,-0.32,,2145.0,7001.0,0.83,1.16,15.38,216.55,2.27,-2.18,63.5,10.689999999999998,0.55,-0.23,30.855,-18.053,-1.01,2.31,8.07,3.66,-1.72,1.4,,,LOSS
28,Argentina,1982.0,First group stage,1.6,4.0,-2.4,,,,1.4,4.0,-2.6,3553.0,4.35,10.57,1.57,70.2,0.43,23.394,-1.87,8.391,-0.99,,,,,,114.17,-103.6,-0.33,1.9,69.08,1.1200000000000043,-0.15,0.58,12.546,10.848,-6.42,4.55,13.9,-5.509,1.58,-2.5700000000000003,,,WIN
29,Hungary,1982.0,First group stage,4.0,1.6,2.4,,,,4.0,1.4,2.6,,,114.17,-0.33,69.08,-0.15,12.546,-6.42,13.9,1.58,,3553.0,,4.35,,10.57,103.6,1.57,-1.9,70.2,-1.1200000000000043,0.43,-0.58,23.394,-10.848,-1.87,-4.55,8.391,5.509,-0.99,2.5700000000000003,,,LOSS
30,Poland,1982.0,First group stage,1.57,0.33,1.24,,,,1.57,0.33,1.24,,,116.85,0.96,70.69,0.09,19.066,0.17,9.636,0.77,,721.0,,7.52,,19.44,97.41,2.14,-1.1800000000000002,52.4,18.29,0.75,-0.66,46.458,-27.392,0.4,-0.23,15.089,-5.453000000000001,-1.73,2.5,,,DRAW
31,Cameroon,1982.0,First group stage,0.33,1.57,-1.24,,,,0.33,1.57,-1.24,721.0,7.52,19.44,2.14,52.4,0.75,46.458,0.4,15.089,-1.73,,,,,,116.85,-97.41,0.96,1.1800000000000002,70.69,-18.29,0.09,0.66,19.066,27.392,0.17,0.23,9.636,5.453000000000001,0.77,-2.5,,,DRAW
32,Soviet Union,1982.0,First group stage,1.4,0.67,0.7299999999999999,,,,1.4,0.67,0.7299999999999999,,,8.24,0.72,67.47,-0.03,16.737,1.17,11.323,1.62,,7656.0,,0.93,,12.03,-3.789999999999999,1.07,-0.3500000000000001,73.77,-6.299999999999997,0.31,-0.3399999999999999,15.843,0.8939999999999984,-1.43,2.6,8.079,3.244,0.0,1.62,,,WIN
33,New Zealand,1982.0,First group stage,0.67,1.4,-0.7299999999999999,,,,0.67,1.4,-0.7299999999999999,7656.0,0.93,12.03,1.07,73.77,0.31,15.843,-1.43,8.079,0.0,,,,,,8.24,3.789999999999999,0.72,0.3500000000000001,67.47,6.299999999999997,-0.03,0.3399999999999999,16.737,-0.8939999999999984,1.17,-2.6,11.323,-3.244,1.62,-1.62,,,LOSS
34,Belgium,1982.0,First group stage,0.6,0.33,0.2699999999999999,,,,0.6,0.33,0.2699999999999999,9344.0,0.6,323.17,0.09,73.91,0.34,12.051,-0.46,11.463,-0.67,,718.0,8626.0,-6.31,6.909999999999999,222.89,100.28000000000004,1.95,-1.86,57.16,16.75,0.33,0.01,35.411,-23.36,-2.22,1.7600000000000002,11.17,0.2929999999999992,-1.39,0.7199999999999999,,,WIN
35,El Salvador,1982.0,First group stage,0.33,0.6,-0.2699999999999999,,,,0.33,0.6,-0.2699999999999999,718.0,-6.31,222.89,1.95,57.16,0.33,35.411,-2.22,11.17,-1.39,,9344.0,-8626.0,0.6,-6.909999999999999,323.17,-100.28000000000004,0.09,1.86,73.91,-16.75,0.34,-0.01,12.051,23.36,-0.46,-1.7600000000000002,11.463,-0.2929999999999992,-0.67,-0.7199999999999999,,,LOSS
36,West Germany,1982.0,First group stage,1.64,1.0,0.6399999999999999,,,,1.64,0.67,0.97,,,,,,,,,,,,2157.0,,-11.01,,15.83,,1.43,,70.53,,0.92,,22.829,,-1.57,,6.063,,-2.74,,,,WIN
37,Chile,1982.0,First group stage,1.0,1.64,-0.6399999999999999,,,,0.67,1.64,-0.97,2157.0,-11.01,15.83,1.43,70.53,0.92,22.829,-1.57,6.063,-2.74,,,,,,,,,,,,,,,,,,,,,,,,LOSS
38,England,1982.0,First group stage,1.0,0.67,0.3299999999999999,,,,1.0,0.0,1.0,9146.0,1.99,231.93,0.09,74.19,0.32,12.802,1.3,11.73,-0.32,,,,,,,,,,,,,,,,,,,,,,,,WIN
39,Czechoslovakia,1982.0,First group stage,0.67,1.0,-0.3299999999999999,,,,0.0,1.0,-1.0,,,,,,,,,,,,9146.0,,1.99,,231.93,,0.09,,74.19,,0.32,,12.802,,1.3,,11.73,,-0.32,,,,LOSS
40,Spain,1982.0,First group stage,0.8,0.67,0.13,,,,0.4,0.33,0.07,5160.0,1.25,75.44,0.49,76.11,0.45,13.427,-5.77,7.78,-0.73,,,,,,,,,,,,,,,,,,,,,,,,WIN
41,Yugoslavia,1982.0,First group stage,0.67,0.8,-0.13,,,,0.33,0.4,-0.07,,,,,,,,,,,,5160.0,,1.25,,75.44,,0.49,,76.11,,0.45,,13.427,,-5.77,,7.78,,-0.73,,,,LOSS
42,Algeria,1982.0,First group stage,1.67,1.0,0.6699999999999999,,,,1.67,1.0,0.6699999999999999,2210.0,6.4,8.68,3.41,61.58,2.2,40.793,-2.04,9.191,-8.29,,9410.0,-7200.0,2.01,4.390000000000001,90.12,-81.44,-0.16,3.5700000000000003,73.28,-11.700000000000005,0.31,1.89,11.751,29.042,0.45,-2.49,12.09,-2.898999999999999,-0.45,-7.839999999999999,,,LOSS
43,Austria,1982.0,First group stage,1.0,1.67,-0.6699999999999999,,,,1.0,1.67,-0.6699999999999999,9410.0,2.01,90.12,-0.16,73.28,0.31,11.751,0.45,12.09,-0.45,,2210.0,7200.0,6.4,-4.390000000000001,8.68,81.44,3.41,-3.5700000000000003,61.58,11.700000000000005,2.2,-1.89,40.793,-29.042,-2.04,2.49,9.191,2.898999999999999,-8.29,7.839999999999999,,,WIN
44,France,1982.0,First group stage,2.18,0.67,1.5100000000000002,,,,2.05,0.67,1.38,10497.0,2.51,99.42,0.5,74.77,0.3,14.152,0.5,10.138,-0.4,,17409.0,-6912.0,,,97.42,2.0,5.03,-4.53,70.49,4.280000000000001,0.49,-0.19,35.877,-21.725,-1.66,2.16,3.498,6.64,-5.15,4.75,,,WIN
45,Kuwait,1982.0,First group stage,0.67,2.18,-1.5100000000000002,,,,0.67,2.05,-1.38,17409.0,,97.42,5.03,70.49,0.49,35.877,-1.66,3.498,-5.15,,10497.0,6912.0,2.51,,99.42,-2.0,0.5,4.53,74.77,-4.280000000000001,0.3,0.19,14.152,21.725,0.5,-2.16,10.138,-6.64,-0.4,-4.75,,,LOSS
46,Honduras,1982.0,First group stage,0.67,1.0,-0.3299999999999999,,,,0.67,1.0,-0.3299999999999999,1091.0,-2.07,36.78,3.04,61.59,1.28,42.625,-1.19,9.211,-4.66,,9146.0,-8055.0,1.99,-4.06,231.93,-195.15,0.09,2.95,74.19,-12.599999999999994,0.32,0.96,12.802,29.823,1.3,-2.49,11.73,-2.519,-0.32,-4.34,,,DRAW
47,Northern Ireland,1982.0,First group stage,1.0,0.67,0.3299999999999999,,,,1.0,0.67,0.3299999999999999,9146.0,1.99,231.93,0.09,74.19,0.32,12.802,1.3,11.73,-0.32,,1091.0,8055.0,-2.07,4.06,36.78,195.15,3.04,-2.95,61.59,12.599999999999994,1.28,-0.96,42.625,-29.823,-1.19,2.49,9.211,2.519,-4.66,4.34,,,DRAW
48,Poland,1982.0,First group stage,1.57,0.67,0.9,,,,1.57,0.67,0.9,,,116.85,0.96,70.69,0.09,19.066,0.17,9.636,0.77,,1182.0,,-0.22,,14.65,102.2,2.46,-1.5,61.67,9.019999999999996,0.93,-0.8400000000000001,34.775,-15.709,-1.56,1.73,9.043,0.593,-3.41,4.18,,,WIN
49,Peru,1982.0,First group stage,0.67,1.57,-0.9,,,,0.67,1.57,-0.9,1182.0,-0.22,14.65,2.46,61.67,0.93,34.775,-1.56,9.043,-3.41,,,,,,116.85,-102.2,0.96,1.5,70.69,-9.019999999999996,0.09,0.8400000000000001,19.066,15.709,0.17,-1.73,9.636,-0.593,0.77,-4.18,,,LOSS
50,Belgium,1982.0,First group stage,0.6,4.0,-3.4,,,,0.6,4.0,-3.4,9344.0,0.6,323.17,0.09,73.91,0.34,12.051,-0.46,11.463,-0.67,,,,,,114.17,209.0,-0.33,0.42,69.08,4.829999999999998,-0.15,0.49,12.546,-0.4949999999999992,-6.42,5.96,13.9,-2.437000000000001,1.58,-2.25,,,DRAW
51,Hungary,1982.0,First group stage,4.0,0.6,3.4,,,,4.0,0.6,3.4,,,114.17,-0.33,69.08,-0.15,12.546,-6.42,13.9,1.58,,9344.0,,0.6,,323.17,-209.0,0.09,-0.42,73.91,-4.829999999999998,0.34,-0.49,12.051,0.4949999999999992,-0.46,-5.96,11.463,2.437000000000001,-0.67,2.25,,,DRAW
52,Soviet Union,1982.0,First group stage,1.4,2.67,-1.27,,,,1.4,2.67,-1.27,,,8.24,0.72,67.47,-0.03,16.737,1.17,11.323,1.62,,9146.0,,1.99,,231.93,-223.69,0.09,0.63,74.19,-6.719999999999999,0.32,-0.35,12.802,3.934999999999999,1.3,-0.1300000000000001,11.73,-0.407,-0.32,1.94,,,DRAW
53,Scotland,1982.0,First group stage,2.67,1.4,1.27,,,,2.67,1.4,1.27,9146.0,1.99,231.93,0.09,74.19,0.32,12.802,1.3,11.73,-0.32,,,,,,8.24,223.69,0.72,-0.63,67.47,6.719999999999999,-0.03,0.35,16.737,-3.934999999999999,1.17,0.1300000000000001,11.323,0.407,1.62,-1.94,,,DRAW
54,Italy,1982.0,First group stage,1.71,0.33,1.38,,,,1.71,0.33,1.38,7557.0,0.41,187.85,0.04,74.88,0.36,10.924,-3.94,9.785,-0.17,,721.0,6836.0,7.52,-7.109999999999999,19.44,168.41,2.14,-2.1,52.4,22.48,0.75,-0.39,46.458,-35.534,0.4,-4.34,15.089,-5.304,-1.73,1.56,,,DRAW
55,Cameroon,1982.0,First group stage,0.33,1.71,-1.38,,,,0.33,1.71,-1.38,721.0,7.52,19.44,2.14,52.4,0.75,46.458,0.4,15.089,-1.73,,7557.0,-6836.0,0.41,7.109999999999999,187.85,-168.41,0.04,2.1,74.88,-22.48,0.36,0.39,10.924,35.534,-3.94,4.34,9.785,5.304,-0.17,-1.56,,,DRAW
56,Argentina,1982.0,First group stage,1.6,0.33,1.27,,,,1.4,0.33,1.0699999999999998,3553.0,4.35,10.57,1.57,70.2,0.43,23.394,-1.87,8.391,-0.99,,718.0,2835.0,-6.31,10.66,222.89,-212.32,1.95,-0.3799999999999999,57.16,13.040000000000006,0.33,0.0999999999999999,35.411,-12.017000000000005,-2.22,0.3500000000000001,11.17,-2.779,-1.39,0.3999999999999999,,,WIN
57,El Salvador,1982.0,First group stage,0.33,1.6,-1.27,,,,0.33,1.4,-1.0699999999999998,718.0,-6.31,222.89,1.95,57.16,0.33,35.411,-2.22,11.17,-1.39,,3553.0,-2835.0,4.35,-10.66,10.57,212.32,1.57,0.3799999999999999,70.2,-13.040000000000006,0.43,-0.0999999999999999,23.394,12.017000000000005,-1.87,-0.3500000000000001,8.391,2.779,-0.99,-0.3999999999999999,,,LOSS
58,Brazil,1982.0,First group stage,3.0,0.67,2.33,,,,3.0,0.67,2.33,2145.0,0.83,15.38,2.27,63.5,0.55,30.855,-1.01,8.07,-1.72,,7656.0,-5511.0,0.93,-0.1,12.03,3.3500000000000014,1.07,1.2,73.77,-10.269999999999996,0.31,0.24,15.843,15.012,-1.43,0.4199999999999999,8.079,-0.0090000000000003,0.0,-1.72,,,WIN
